"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"WY","Serious complications","PSI_90_SAFETY","0","11","0","Not Available","","07/01/2011","06/30/2013"
"AK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","1","","04/01/2010","03/31/2013"
"AL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","48","0","8","","04/01/2010","03/31/2013"
"AR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","27","1","8","","04/01/2010","03/31/2013"
"AS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2010","03/31/2013"
"AZ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","49","0","7","","04/01/2010","03/31/2013"
"CA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","195","9","90","","04/01/2010","03/31/2013"
"CO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","48","1","5","","04/01/2010","03/31/2013"
"CT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","26","0","0","","04/01/2010","03/31/2013"
"DC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","4","0","2","","04/01/2010","03/31/2013"
"DE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","1","0","","04/01/2010","03/31/2013"
"FL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","136","9","17","","04/01/2010","03/31/2013"
"GA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","75","2","15","","04/01/2010","03/31/2013"
"GU","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2010","03/31/2013"
"HI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","7","","04/01/2010","03/31/2013"
"IA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","47","0","17","","04/01/2010","03/31/2013"
"ID","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","0","6","","04/01/2010","03/31/2013"
"IL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","112","0","25","","04/01/2010","03/31/2013"
"IN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","78","3","27","","04/01/2010","03/31/2013"
"KS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","38","3","14","","04/01/2010","03/31/2013"
"KY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","41","1","15","","04/01/2010","03/31/2013"
"LA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","56","0","18","","04/01/2010","03/31/2013"
"MA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","55","2","4","","04/01/2010","03/31/2013"
"MD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","39","1","4","","04/01/2010","03/31/2013"
"ME","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","27","0","5","","04/01/2010","03/31/2013"
"MI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","89","6","20","","04/01/2010","03/31/2013"
"MN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","65","1","17","","04/01/2010","03/31/2013"
"MO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","66","2","14","","04/01/2010","03/31/2013"
"MP","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2010","03/31/2013"
"MS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","29","1","4","","04/01/2010","03/31/2013"
"MT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","19","0","7","","04/01/2010","03/31/2013"
"NC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","81","1","7","","04/01/2010","03/31/2013"
"ND","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","0","","04/01/2010","03/31/2013"
"NE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","33","1","14","","04/01/2010","03/31/2013"
"NH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","21","1","1","","04/01/2010","03/31/2013"
"NJ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","52","2","7","","04/01/2010","03/31/2013"
"NM","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","4","","04/01/2010","03/31/2013"
"NV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","2","","04/01/2010","03/31/2013"
"NY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","116","4","33","","04/01/2010","03/31/2013"
"OH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","129","2","23","","04/01/2010","03/31/2013"
"OK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","45","2","16","","04/01/2010","03/31/2013"
"OR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","41","0","8","","04/01/2010","03/31/2013"
"PA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","5","124","0","31","","04/01/2010","03/31/2013"
"PR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","26","","04/01/2010","03/31/2013"
"RI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","1","","04/01/2010","03/31/2013"
"SC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","40","1","15","","04/01/2010","03/31/2013"
"SD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","18","0","2","","04/01/2010","03/31/2013"
"TN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","53","2","20","","04/01/2010","03/31/2013"
"TX","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","204","3","56","","04/01/2010","03/31/2013"
"UT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","25","0","7","","04/01/2010","03/31/2013"
"VA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","58","1","8","","04/01/2010","03/31/2013"
"VI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","1","0","0","","04/01/2010","03/31/2013"
"VT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","12","0","1","","04/01/2010","03/31/2013"
"WA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","55","0","7","","04/01/2010","03/31/2013"
"WI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","84","0","18","","04/01/2010","03/31/2013"
"WV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","26","0","6","","04/01/2010","03/31/2013"
"WY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","14","0","4","","04/01/2010","03/31/2013"
"AK","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","8","0","1","","07/01/2010","06/30/2013"
"AL","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","48","0","11","","07/01/2010","06/30/2013"
"AR","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","25","2","9","","07/01/2010","06/30/2013"
"AS","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","0","0","0","","07/01/2010","06/30/2013"
"AZ","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","47","1","8","","07/01/2010","06/30/2013"
"CA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","199","10","86","","07/01/2010","06/30/2013"
"CO","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","48","1","5","","07/01/2010","06/30/2013"
"CT","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","28","0","0","","07/01/2010","06/30/2013"
"DC","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","4","0","2","","07/01/2010","06/30/2013"
"DE","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","6","0","0","","07/01/2010","06/30/2013"
"FL","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","141","5","17","","07/01/2010","06/30/2013"
"GA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","74","2","16","","07/01/2010","06/30/2013"
"GU","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","0","0","0","","07/01/2010","06/30/2013"
"HI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","8","0","7","","07/01/2010","06/30/2013"
"IA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","50","0","16","","07/01/2010","06/30/2013"
"ID","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","22","1","5","","07/01/2010","06/30/2013"
"IL","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","4","110","1","24","","07/01/2010","06/30/2013"
"IN","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","79","2","28","","07/01/2010","06/30/2013"
"KS","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","40","3","13","","07/01/2010","06/30/2013"
"KY","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","44","0","14","","07/01/2010","06/30/2013"
"LA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","54","1","19","","07/01/2010","06/30/2013"
"MA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","55","2","4","","07/01/2010","06/30/2013"
"MD","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","2","41","0","3","","07/01/2010","06/30/2013"
"ME","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","26","1","5","","07/01/2010","06/30/2013"
"MI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","2","95","2","16","","07/01/2010","06/30/2013"
"MN","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","66","0","19","","07/01/2010","06/30/2013"
"MO","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","3","62","4","12","","07/01/2010","06/30/2013"
"MP","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","0","0","0","","07/01/2010","06/30/2013"
"MS","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","30","0","5","","07/01/2010","06/30/2013"
"MT","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","20","0","6","","07/01/2010","06/30/2013"
"NC","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","83","0","6","","07/01/2010","06/30/2013"
"ND","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","7","2","0","","07/01/2010","06/30/2013"
"NE","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","34","2","12","","07/01/2010","06/30/2013"
"NH","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","23","0","1","","07/01/2010","06/30/2013"
"NJ","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","52","1","8","","07/01/2010","06/30/2013"
"NM","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","23","1","3","","07/01/2010","06/30/2013"
"NV","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","23","0","2","","07/01/2010","06/30/2013"
"NY","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","116","3","33","","07/01/2010","06/30/2013"
"OH","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","132","1","23","","07/01/2010","06/30/2013"
"OK","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","47","1","18","","07/01/2010","06/30/2013"
"OR","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","40","1","8","","07/01/2010","06/30/2013"
"PA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","3","127","2","27","","07/01/2010","06/30/2013"
"PR","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","8","0","25","","07/01/2010","06/30/2013"
"RI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","9","0","1","","07/01/2010","06/30/2013"
"SC","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","39","1","14","","07/01/2010","06/30/2013"
"SD","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","16","1","3","","07/01/2010","06/30/2013"
"TN","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","53","2","20","","07/01/2010","06/30/2013"
"TX","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","3","203","1","58","","07/01/2010","06/30/2013"
"UT","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","28","0","5","","07/01/2010","06/30/2013"
"VA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","3","56","2","8","","07/01/2010","06/30/2013"
"VI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","1","0","0","","07/01/2010","06/30/2013"
"VT","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","12","0","1","","07/01/2010","06/30/2013"
"WA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","53","2","7","","07/01/2010","06/30/2013"
"WI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","83","2","18","","07/01/2010","06/30/2013"
"WV","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","26","0","6","","07/01/2010","06/30/2013"
"WY","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","14","0","4","","07/01/2010","06/30/2013"
"AK","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","19","1","2","","07/01/2012","06/30/2013"
"AL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","3","88","1","2","","07/01/2012","06/30/2013"
"AR","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","10","62","3","0","","07/01/2012","06/30/2013"
"AS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","1","0","0","","07/01/2012","06/30/2013"
"AZ","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","66","9","2","","07/01/2012","06/30/2013"
"CA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","16","286","27","10","","07/01/2012","06/30/2013"
"CO","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","59","14","1","","07/01/2012","06/30/2013"
"CT","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","5","25","1","0","","07/01/2012","06/30/2013"
"DC","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","3","0","0","","07/01/2012","06/30/2013"
"DE","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","6","0","0","","07/01/2012","06/30/2013"
"FL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","32","135","12","3","","07/01/2012","06/30/2013"
"GA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","2","129","8","2","","07/01/2012","06/30/2013"
"GU","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","1","0","0","","07/01/2012","06/30/2013"
"HI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","11","2","5","","07/01/2012","06/30/2013"
"IA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","108","6","1","","07/01/2012","06/30/2013"
"ID","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","34","4","3","","07/01/2012","06/30/2013"
"IL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","31","138","9","0","","07/01/2012","06/30/2013"
"IN","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","109","11","1","","07/01/2012","06/30/2013"
"KS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","127","4","5","","07/01/2012","06/30/2013"
"KY","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","15","76","3","0","","07/01/2012","06/30/2013"
"LA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","105","4","12","","07/01/2012","06/30/2013"
"MA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","13","47","4","0","","07/01/2012","06/30/2013"
"MD","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","9","32","6","0","","07/01/2012","06/30/2013"
"ME","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","30","5","1","","07/01/2012","06/30/2013"
"MI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","19","94","12","5","","07/01/2012","06/30/2013"
"MN","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","126","1","3","","07/01/2012","06/30/2013"
"MO","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","7","102","4","2","","07/01/2012","06/30/2013"
"MP","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","1","0","0","","07/01/2012","06/30/2013"
"MS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","83","0","7","","07/01/2012","06/30/2013"
"MT","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","46","4","10","","07/01/2012","06/30/2013"
"NC","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","93","9","2","","07/01/2012","06/30/2013"
"ND","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","40","1","2","","07/01/2012","06/30/2013"
"NE","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","80","6","2","","07/01/2012","06/30/2013"
"NH","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","21","5","0","","07/01/2012","06/30/2013"
"NJ","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","31","30","3","0","","07/01/2012","06/30/2013"
"NM","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","37","2","1","","07/01/2012","06/30/2013"
"NV","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","25","1","5","","07/01/2012","06/30/2013"
"NY","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","66","99","6","5","","07/01/2012","06/30/2013"
"OH","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","9","148","5","4","","07/01/2012","06/30/2013"
"OK","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","114","2","5","","07/01/2012","06/30/2013"
"OR","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","50","8","0","","07/01/2012","06/30/2013"
"PA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","27","131","8","2","","07/01/2012","06/30/2013"
"PR","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","2","47","0","3","","07/01/2012","06/30/2013"
"RI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","2","8","1","0","","07/01/2012","06/30/2013"
"SC","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","3","51","6","0","","07/01/2012","06/30/2013"
"SD","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","51","6","3","","07/01/2012","06/30/2013"
"TN","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","7","102","2","2","","07/01/2012","06/30/2013"
"TX","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","353","27","19","","07/01/2012","06/30/2013"
"UT","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","38","3","2","","07/01/2012","06/30/2013"
"VA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","17","60","3","6","","07/01/2012","06/30/2013"
"VI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","2","0","0","","07/01/2012","06/30/2013"
"VT","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","12","2","0","","07/01/2012","06/30/2013"
"WA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","76","9","2","","07/01/2012","06/30/2013"
"WI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","116","7","0","","07/01/2012","06/30/2013"
"WV","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","43","0","0","","07/01/2012","06/30/2013"
"WY","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","26","0","1","","07/01/2012","06/30/2013"
"AK","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","12","0","10","","07/01/2010","06/30/2013"
"AL","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","87","1","12","","07/01/2010","06/30/2013"
"AR","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","68","0","5","","07/01/2010","06/30/2013"
"AS","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","1","58","0","16","","07/01/2010","06/30/2013"
"CA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","1","269","0","62","","07/01/2010","06/30/2013"
"CO","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","51","1","21","","07/01/2010","06/30/2013"
"CT","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","1","29","0","1","","07/01/2010","06/30/2013"
"DC","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","7","0","0","","07/01/2010","06/30/2013"
"DE","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","6","0","0","","07/01/2010","06/30/2013"
"FL","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","5","171","2","5","","07/01/2010","06/30/2013"
"GA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","1","118","0","21","","07/01/2010","06/30/2013"
"GU","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","12","0","6","","07/01/2010","06/30/2013"
"IA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","84","0","32","","07/01/2010","06/30/2013"
"ID","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","23","0","15","","07/01/2010","06/30/2013"
"IL","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","6","168","0","5","","07/01/2010","06/30/2013"
"IN","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","3","112","1","4","","07/01/2010","06/30/2013"
"KS","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","81","0","47","","07/01/2010","06/30/2013"
"KY","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","13","81","0","0","","07/01/2010","06/30/2013"
"LA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","87","1","20","","07/01/2010","06/30/2013"
"MA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","5","56","0","2","","07/01/2010","06/30/2013"
"MD","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","3","42","1","1","","07/01/2010","06/30/2013"
"ME","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","34","0","2","","07/01/2010","06/30/2013"
"MI","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","2","114","4","5","","07/01/2010","06/30/2013"
"MN","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","65","0","64","","07/01/2010","06/30/2013"
"MO","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","3","105","0","5","","07/01/2010","06/30/2013"
"MP","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","1","0","0","","07/01/2010","06/30/2013"
"MS","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","2","76","0","16","","07/01/2010","06/30/2013"
"MT","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","25","0","34","","07/01/2010","06/30/2013"
"NC","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","1","99","1","5","","07/01/2010","06/30/2013"
"ND","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","20","0","23","","07/01/2010","06/30/2013"
"NE","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","45","0","37","","07/01/2010","06/30/2013"
"NH","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","26","0","0","","07/01/2010","06/30/2013"
"NJ","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","5","58","0","2","","07/01/2010","06/30/2013"
"NM","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","34","0","7","","07/01/2010","06/30/2013"
"NV","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","26","0","6","","07/01/2010","06/30/2013"
"NY","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","14","154","1","6","","07/01/2010","06/30/2013"
"OH","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","6","150","0","8","","07/01/2010","06/30/2013"
"OK","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","3","89","0","22","","07/01/2010","06/30/2013"
"OR","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","51","1","6","","07/01/2010","06/30/2013"
"PA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","3","151","0","6","","07/01/2010","06/30/2013"
"PR","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","20","1","23","","07/01/2010","06/30/2013"
"RI","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","10","0","1","","07/01/2010","06/30/2013"
"SC","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","56","1","4","","07/01/2010","06/30/2013"
"SD","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","24","0","29","","07/01/2010","06/30/2013"
"TN","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","5","101","0","7","","07/01/2010","06/30/2013"
"TX","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","2","297","5","68","","07/01/2010","06/30/2013"
"UT","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","18","1","21","","07/01/2010","06/30/2013"
